description,category
doctor consultation,healthcare
ucc payment payment,education
fufu - 131 GHS,food
flight to kumasi payment,travel
monthly doctor consultation,healthcare
kenkey - 40 GHS,food
paid for gotv payment,entertainment
bolt ride payment,transport
monthly movie night,entertainment
monthly concert ticket,entertainment
gwcl water,bills
local restaurant - 205 GHS,food
monthly legon fees,education
monthly dstv subscription,entertainment
waakye payment,food
palace shopping - 430 GHS,shopping
monthly game stores,shopping
monthly concert ticket,entertainment
doctor consultation - 176 GHS,healthcare
kfc accra - 484 GHS,food
spotify premium payment,entertainment
paid for west hills mall,shopping
ridge hospital - 48 GHS,healthcare
paid for gotv payment,entertainment
rent payment - 258 GHS,bills
rent payment - 332 GHS,bills
paid for korle bu hospital,healthcare
paid for clinic visit,healthcare
paid for concert ticket,entertainment
taxi fare payment,transport
vodafone airtime,bills
flight to kumasi,travel
paid for legon fees,education
monthly ecg bill,bills
game stores,shopping
library fine,education
papaye,food
ridge hospital - 209 GHS,healthcare
monthly ucc payment,education
paid for pharmacy,healthcare
uber accra - 461 GHS,transport
paid for textbook purchase,education
paid for stationery,education
gotv payment payment,entertainment
clothing payment,shopping
monthly textbook purchase,education
paid for chop bar,food
textbook purchase,education
monthly concert ticket,entertainment
netflix - 25 GHS,entertainment
paid for papaye,food
ecg bill - 44 GHS,bills
makola market payment,shopping
monthly metro mass,transport
tamale travel,travel
medical checkup,healthcare
paid for hotel booking,travel
shs bus - 469 GHS,transport
paid for spotify premium,entertainment
paid for clothing,shopping
local restaurant,food
nhis payment payment,healthcare
pharmacy,healthcare
paid for vodafone airtime,bills
vip transport payment,transport
monthly kfc accra,food
vodafone airtime - 81 GHS,bills
paid for nhis payment,healthcare
ucc payment payment,education
monthly cape coast trip,travel
local restaurant,food
kotoka airport payment,travel
paid for pharmacy,healthcare
monthly accra mall,shopping
paid for shs bus,transport
silverbird cinema - 347 GHS,entertainment
dstv subscription - 452 GHS,entertainment
knust tuition payment,education
silverbird cinema payment,entertainment
clinic visit,healthcare
fufu payment,food
paid for tamale travel,travel
fufu - 23 GHS,food
monthly concert ticket,entertainment
insurance premium,bills
library fine payment,education
monthly palace shopping,shopping
kaneshie market payment,shopping
taxi fare payment,transport
kotoka airport payment,travel
paid for palace shopping,shopping
spotify premium - 403 GHS,entertainment
ridge hospital payment,healthcare
ecg bill payment,bills
dstv subscription,entertainment
hotel booking payment,travel
monthly vacation expenses,travel
hotel booking,travel
monthly melcom,shopping
paid for flight to kumasi,travel
monthly netflix,entertainment
paid for textbook purchase,education
medical checkup payment,healthcare
monthly shoprite,shopping
kaneshie market,shopping
library fine,education
papaye payment,food
textbook purchase payment,education
tamale travel payment,travel
transport fare - 197 GHS,travel
uber accra payment,transport
tamale travel payment,travel
silverbird cinema payment,entertainment
local restaurant - 24 GHS,food
monthly concert ticket,entertainment
paid for rent payment,bills
monthly gotv payment,entertainment
insurance premium payment,bills
textbook purchase,education
nhis payment,healthcare
transport fare,travel
monthly palace shopping,shopping
gotv payment payment,entertainment
paid for ecg bill,bills
kfc accra - 473 GHS,food
clinic visit,healthcare
paid for kaneshie market,shopping
spotify premium - 207 GHS,entertainment
accra mall - 465 GHS,shopping
vacation expenses - 118 GHS,travel
tamale travel payment,travel
kotoka airport - 208 GHS,travel
melcom snacks,food
flight to kumasi - 470 GHS,travel
paid for spotify premium,entertainment
paid for shoprite,shopping
ecg bill,bills
doctor consultation payment,healthcare
goil fuel - 423 GHS,transport
textbook purchase payment,education
monthly kenkey,food
banku payment,food
dstv subscription,entertainment
silverbird cinema payment,entertainment
paid for dstv subscription,entertainment
monthly nhis payment,healthcare
paid for banku,food
monthly textbook purchase,education
medical checkup,healthcare
monthly ridge hospital,healthcare
monthly banku,food
monthly korle bu hospital,healthcare
kaneshie market,shopping
uber accra payment,transport
korle bu hospital - 28 GHS,healthcare
paid for gwcl water,bills
uber accra - 60 GHS,transport
monthly taxi fare,transport
tamale travel,travel
monthly banku,food
monthly cape coast trip,travel
knust tuition payment,education
paid for spotify premium,entertainment
paid for vodafone airtime,bills
monthly clinic visit,healthcare
paid for doctor consultation,healthcare
nhis payment - 314 GHS,healthcare
stationery payment,education
shoprite - 429 GHS,shopping
melcom snacks - 191 GHS,food
monthly bolt ride,transport
monthly ecg bill,bills
paid for fufu,food
accra mall,shopping
waakye - 379 GHS,food
dstv subscription payment,entertainment
doctor consultation - 94 GHS,healthcare
vacation expenses,travel
banku payment,food
monthly rent payment,bills
banku,food
west hills mall payment,shopping
metro mass - 319 GHS,transport
cape coast trip,travel
stationery,education
paid for vacation expenses,travel
insurance premium - 344 GHS,bills
legon fees - 208 GHS,education
rent payment payment,bills
paid for shoprite,shopping
textbook purchase,education
medical checkup,healthcare
monthly vacation expenses,travel
paid for chop bar,food
monthly knust tuition,education
dstv subscription,entertainment
paid for clothing,shopping
clinic visit,healthcare
hotel booking,travel
monthly silverbird cinema,entertainment
silverbird cinema,entertainment
gwcl water payment,bills
paid for airteltigo data,bills
melcom - 391 GHS,shopping
gotv payment,entertainment
trotro fare - 445 GHS,transport
goil fuel payment,transport
vodafone airtime,bills
jollof payment,food
paid for taxi fare,transport
paid for kaneshie market,shopping
paid for silverbird cinema,entertainment
dstv subscription - 470 GHS,entertainment
monthly netflix,entertainment
uber accra,transport
monthly shell petrol,transport
school fees payment,education
kotoka airport payment,travel
monthly school fees,education
fufu - 86 GHS,food
kenkey - 379 GHS,food
monthly metro mass,transport
monthly movie night,entertainment
gwcl water payment,bills
silverbird cinema - 382 GHS,entertainment
paid for knust tuition,education
monthly tamale travel,travel
waakye payment,food
shoprite food - 489 GHS,food
movie night - 68 GHS,entertainment
paid for tamale travel,travel
insurance premium payment,bills
monthly tamale travel,travel
nhis payment - 487 GHS,healthcare
paid for gwcl water,bills
paid for taxi fare,transport
paid for vacation expenses,travel
paid for school fees,education
paid for accra mall,shopping
makola market - 222 GHS,shopping
monthly vodafone airtime,bills
monthly kaneshie market,shopping
ucc payment payment,education
monthly tamale travel,travel
monthly mtn mobile money,bills
medical checkup - 60 GHS,healthcare
clinic visit - 118 GHS,healthcare
paid for ecg bill,bills
paid for accra mall,shopping
kaneshie market,shopping
monthly clinic visit,healthcare
transport fare payment,travel
paid for vacation expenses,travel
kotoka airport - 107 GHS,travel
monthly melcom snacks,food
pharmacy,healthcare
monthly legon fees,education
stationery - 62 GHS,education
stationery,education
banku payment,food
vodafone airtime payment,bills
monthly taxi fare,transport
paid for clinic visit,healthcare
korle bu hospital payment,healthcare
school fees - 234 GHS,education
paid for silverbird cinema,entertainment
concert ticket payment,entertainment
paid for ridge hospital,healthcare
kaneshie market - 201 GHS,shopping
monthly vacation expenses,travel
paid for melcom snacks,food
paid for gwcl water,bills
movie night,entertainment
paid for dstv subscription,entertainment
mtn mobile money - 269 GHS,bills
paid for palace shopping,shopping
paid for legon fees,education
uber accra,transport
legon fees - 271 GHS,education
netflix - 65 GHS,entertainment
paid for total fuel,transport
uber accra,transport
monthly metro mass,transport
shoprite food - 177 GHS,food
monthly gotv payment,entertainment
paid for trotro fare,transport
paid for korle bu hospital,healthcare
airteltigo data payment,bills
monthly melcom snacks,food
ridge hospital payment,healthcare
total fuel - 304 GHS,transport
paid for concert ticket,entertainment
paid for tamale travel,travel
vacation expenses payment,travel
transport fare - 355 GHS,travel
monthly total fuel,transport
kaneshie market payment,shopping
kenkey - 239 GHS,food
silverbird cinema,entertainment
shoprite,shopping
monthly waakye,food
kfc accra,food
doctor consultation,healthcare
vip transport - 164 GHS,transport
flight to kumasi - 404 GHS,travel
clothing - 236 GHS,shopping
school fees,education
clinic visit - 240 GHS,healthcare
paid for kotoka airport,travel
clinic visit,healthcare
paid for korle bu hospital,healthcare
ridge hospital - 141 GHS,healthcare
school fees,education
kfc accra - 334 GHS,food
palace shopping,shopping
pharmacy payment,healthcare
kfc accra - 483 GHS,food
kfc accra,food
paid for kfc accra,food
vip transport,transport
paid for library fine,education
waakye - 471 GHS,food
monthly medical checkup,healthcare
waakye - 334 GHS,food
west hills mall,shopping
paid for clinic visit,healthcare
makola market payment,shopping
paid for goil fuel,transport
school fees,education
melcom snacks,food
monthly kaneshie market,shopping
metro mass,transport
paid for textbook purchase,education
paid for palace shopping,shopping
chop bar payment,food
monthly shoprite food,food
paid for shell petrol,transport
palace shopping - 229 GHS,shopping
monthly kotoka airport,travel
netflix - 480 GHS,entertainment
pharmacy - 142 GHS,healthcare
hotel booking - 364 GHS,travel
uber accra,transport
banku payment,food
paid for shoprite,shopping
taxi fare payment,transport
monthly gwcl water,bills
stationery,education
paid for ridge hospital,healthcare
metro mass,transport
paid for kenkey,food
hotel booking - 167 GHS,travel
netflix,entertainment
monthly west hills mall,shopping
paid for bolt ride,transport
clinic visit - 150 GHS,healthcare
total fuel,transport
makola market payment,shopping
vip transport,transport
monthly accra mall,shopping
fufu - 290 GHS,food
legon fees - 338 GHS,education
monthly mtn mobile money,bills
cape coast trip,travel
paid for kfc accra,food
textbook purchase payment,education
paid for legon fees,education
monthly korle bu hospital,healthcare
concert ticket payment,entertainment
kenkey - 284 GHS,food
knust tuition - 50 GHS,education
paid for shoprite,shopping
paid for legon fees,education
trotro fare payment,transport
monthly melcom snacks,food
kotoka airport - 365 GHS,travel
monthly mtn mobile money,bills
monthly vacation expenses,travel
local restaurant payment,food
paid for bolt ride,transport
monthly shs bus,transport
paid for makola market,shopping
paid for silverbird cinema,entertainment
waakye payment,food
monthly ucc payment,education
monthly cape coast trip,travel
monthly airteltigo data,bills
gwcl water,bills
paid for vacation expenses,travel
total fuel payment,transport
monthly silverbird cinema,entertainment
gwcl water,bills
monthly transport fare,travel
ecg bill - 221 GHS,bills
paid for vodafone airtime,bills
paid for kfc accra,food
monthly transport fare,travel
monthly rent payment,bills
vodafone airtime,bills
vip transport - 173 GHS,transport
paid for kotoka airport,travel
monthly pharmacy,healthcare
concert ticket - 309 GHS,entertainment
makola market,shopping
doctor consultation payment,healthcare
melcom snacks,food
trotro fare - 467 GHS,transport
paid for chop bar,food
legon fees - 136 GHS,education
nhis payment payment,healthcare
doctor consultation - 459 GHS,healthcare
monthly silverbird cinema,entertainment
gwcl water,bills
kotoka airport,travel
monthly spotify premium,entertainment
paid for school fees,education
monthly trotro fare,transport
concert ticket,entertainment
jollof,food
ridge hospital,healthcare
waakye payment,food
silverbird cinema,entertainment
paid for gotv payment,entertainment
spotify premium - 271 GHS,entertainment
silverbird cinema payment,entertainment
nhis payment - 210 GHS,healthcare
insurance premium - 47 GHS,bills
cape coast trip,travel
airteltigo data - 301 GHS,bills
flight to kumasi - 169 GHS,travel
makola market - 136 GHS,shopping
gotv payment payment,entertainment
flight to kumasi payment,travel
knust tuition,education
shell petrol,transport
bolt ride payment,transport
monthly concert ticket,entertainment
paid for metro mass,transport
library fine,education
monthly doctor consultation,healthcare
medical checkup payment,healthcare
korle bu hospital,healthcare
paid for accra mall,shopping
school fees payment,education
monthly mtn mobile money,bills
medical checkup,healthcare
library fine - 361 GHS,education
paid for school fees,education
paid for textbook purchase,education
airteltigo data payment,bills
silverbird cinema,entertainment
metro mass payment,transport
doctor consultation payment,healthcare
shell petrol,transport
accra mall,shopping
paid for gwcl water,bills
melcom snacks,food
paid for library fine,education
jollof payment,food
nhis payment,healthcare
hotel booking payment,travel
rent payment - 483 GHS,bills
monthly shs bus,transport
tamale travel - 500 GHS,travel
jollof,food
paid for doctor consultation,healthcare
paid for flight to kumasi,travel
monthly vodafone airtime,bills
paid for trotro fare,transport
transport fare payment,travel
paid for ucc payment,education
paid for silverbird cinema,entertainment
jollof,food
cape coast trip,travel
monthly melcom,shopping
local restaurant payment,food
monthly fufu,food
monthly shoprite,shopping
medical checkup payment,healthcare
monthly mtn mobile money,bills
paid for taxi fare,transport
paid for vip transport,transport
makola market payment,shopping
paid for shs bus,transport
knust tuition,education
monthly korle bu hospital,healthcare
monthly rent payment,bills
korle bu hospital - 342 GHS,healthcare
gotv payment - 327 GHS,entertainment
korle bu hospital,healthcare
clothing - 109 GHS,shopping
palace shopping,shopping
paid for mtn mobile money,bills
monthly flight to kumasi,travel
nhis payment payment,healthcare
kaneshie market - 74 GHS,shopping
paid for movie night,entertainment
knust tuition payment,education
taxi fare payment,transport
hotel booking - 303 GHS,travel
monthly ridge hospital,healthcare
paid for textbook purchase,education
monthly vip transport,transport
trotro fare - 448 GHS,transport
kfc accra - 287 GHS,food
monthly kenkey,food
ridge hospital,healthcare
paid for vacation expenses,travel
chop bar - 497 GHS,food
jollof,food
legon fees payment,education
west hills mall,shopping
vip transport payment,transport
paid for stationery,education
palace shopping,shopping
shoprite food,food
flight to kumasi payment,travel
chop bar payment,food
monthly dstv subscription,entertainment
accra mall - 285 GHS,shopping
insurance premium - 309 GHS,bills
game stores,shopping
shoprite,shopping
monthly library fine,education
monthly netflix,entertainment
airteltigo data,bills
monthly gotv payment,entertainment
goil fuel - 302 GHS,transport
paid for movie night,entertainment
ridge hospital,healthcare
paid for chop bar,food
paid for gotv payment,entertainment
mtn mobile money,bills
kenkey payment,food
paid for school fees,education
paid for uber accra,transport
goil fuel - 104 GHS,transport
monthly flight to kumasi,travel
legon fees payment,education
textbook purchase - 185 GHS,education
nhis payment - 295 GHS,healthcare
monthly vodafone airtime,bills
paid for palace shopping,shopping
monthly taxi fare,transport
textbook purchase,education
concert ticket - 127 GHS,entertainment
local restaurant - 246 GHS,food
paid for clothing,shopping
kotoka airport payment,travel
knust tuition payment,education
paid for nhis payment,healthcare
kotoka airport - 249 GHS,travel
local restaurant payment,food
gotv payment payment,entertainment
paid for accra mall,shopping
gwcl water,bills
monthly kfc accra,food
knust tuition - 364 GHS,education
legon fees payment,education
kenkey,food
paid for hotel booking,travel
game stores - 240 GHS,shopping
movie night payment,entertainment
clinic visit - 493 GHS,healthcare
monthly legon fees,education
stationery - 304 GHS,education
paid for stationery,education
local restaurant - 356 GHS,food
kfc accra,food
airteltigo data - 331 GHS,bills
knust tuition - 144 GHS,education
tamale travel,travel
ucc payment payment,education
monthly airteltigo data,bills
paid for textbook purchase,education
paid for palace shopping,shopping
paid for airteltigo data,bills
vodafone airtime - 180 GHS,bills
airteltigo data payment,bills
monthly gotv payment,entertainment
trotro fare - 480 GHS,transport
goil fuel payment,transport
paid for banku,food
paid for ridge hospital,healthcare
monthly cape coast trip,travel
makola market,shopping
monthly banku,food
pharmacy,healthcare
vodafone airtime payment,bills
accra mall,shopping
gotv payment - 424 GHS,entertainment
mtn mobile money - 451 GHS,bills
clinic visit payment,healthcare
monthly vodafone airtime,bills
knust tuition payment,education
paid for local restaurant,food
vacation expenses,travel
monthly spotify premium,entertainment
shoprite - 372 GHS,shopping
netflix,entertainment
papaye,food
monthly stationery,education
monthly medical checkup,healthcare
dstv subscription - 299 GHS,entertainment
paid for rent payment,bills
paid for spotify premium,entertainment
shoprite food,food
nhis payment - 250 GHS,healthcare
stationery,education
monthly clothing,shopping
bolt ride - 480 GHS,transport
paid for taxi fare,transport
hotel booking - 399 GHS,travel
taxi fare payment,transport
knust tuition,education
ucc payment payment,education
papaye payment,food
paid for pharmacy,healthcare
legon fees payment,education
monthly trotro fare,transport
kenkey - 359 GHS,food
monthly bolt ride,transport
library fine payment,education
monthly game stores,shopping
paid for clinic visit,healthcare
dstv subscription payment,entertainment
vip transport - 459 GHS,transport
textbook purchase,education
west hills mall,shopping
paid for doctor consultation,healthcare
shoprite food - 399 GHS,food
monthly clothing,shopping
bolt ride,transport
korle bu hospital payment,healthcare
paid for gotv payment,entertainment
goil fuel,transport
ridge hospital payment,healthcare
clinic visit,healthcare
monthly shs bus,transport
melcom,shopping
paid for netflix,entertainment
library fine,education
clinic visit,healthcare
paid for movie night,entertainment
nhis payment,healthcare
cape coast trip,travel
ridge hospital payment,healthcare
paid for movie night,entertainment
ucc payment payment,education
paid for ecg bill,bills
monthly melcom snacks,food
metro mass payment,transport
vip transport payment,transport
monthly melcom,shopping
paid for trotro fare,transport
paid for total fuel,transport
fufu - 465 GHS,food
makola market payment,shopping
paid for clothing,shopping
clinic visit,healthcare
spotify premium,entertainment
monthly taxi fare,transport
flight to kumasi,travel
mtn mobile money - 394 GHS,bills
monthly korle bu hospital,healthcare
tamale travel payment,travel
paid for melcom snacks,food
clinic visit payment,healthcare
paid for dstv subscription,entertainment
paid for makola market,shopping
stationery payment,education
paid for chop bar,food
airteltigo data payment,bills
west hills mall payment,shopping
monthly banku,food
ecg bill payment,bills
paid for nhis payment,healthcare
legon fees - 460 GHS,education
nhis payment - 104 GHS,healthcare
west hills mall,shopping
monthly insurance premium,bills
uber accra - 324 GHS,transport
library fine - 164 GHS,education
kfc accra payment,food
monthly shoprite,shopping
netflix,entertainment
kotoka airport - 211 GHS,travel
korle bu hospital payment,healthcare
paid for movie night,entertainment
school fees,education
monthly dstv subscription,entertainment
vacation expenses - 411 GHS,travel
taxi fare - 398 GHS,transport
monthly legon fees,education
silverbird cinema - 457 GHS,entertainment
dstv subscription - 351 GHS,entertainment
monthly dstv subscription,entertainment
monthly tamale travel,travel
paid for hotel booking,travel
nhis payment,healthcare
paid for dstv subscription,entertainment
legon fees - 216 GHS,education
library fine payment,education
monthly library fine,education
west hills mall,shopping
monthly stationery,education
fufu - 201 GHS,food
library fine payment,education
shoprite - 158 GHS,shopping
paid for insurance premium,bills
clothing,shopping
monthly kaneshie market,shopping
taxi fare payment,transport
uber accra - 463 GHS,transport
monthly dstv subscription,entertainment
fufu payment,food
kotoka airport,travel
monthly ecg bill,bills
chop bar,food
game stores,shopping
paid for stationery,education
paid for medical checkup,healthcare
textbook purchase - 429 GHS,education
paid for flight to kumasi,travel
monthly spotify premium,entertainment
school fees - 254 GHS,education
knust tuition payment,education
paid for west hills mall,shopping
tamale travel payment,travel
rent payment,bills
clinic visit,healthcare
paid for ucc payment,education
clothing payment,shopping
monthly nhis payment,healthcare
paid for trotro fare,transport
paid for vodafone airtime,bills
vip transport,transport
monthly tamale travel,travel
fufu,food
paid for west hills mall,shopping
kotoka airport - 62 GHS,travel
monthly transport fare,travel
paid for kotoka airport,travel
bolt ride,transport
paid for hotel booking,travel
paid for silverbird cinema,entertainment
ucc payment - 453 GHS,education
monthly library fine,education
trotro fare - 435 GHS,transport
vacation expenses payment,travel
trotro fare,transport
paid for game stores,shopping
monthly trotro fare,transport
monthly total fuel,transport
waakye - 168 GHS,food
knust tuition - 140 GHS,education
kotoka airport,travel
monthly mtn mobile money,bills
monthly shell petrol,transport
paid for shs bus,transport
vodafone airtime payment,bills
paid for palace shopping,shopping
textbook purchase - 50 GHS,education
game stores,shopping
clinic visit - 148 GHS,healthcare
flight to kumasi,travel
ecg bill,bills
monthly uber accra,transport
flight to kumasi,travel
monthly clinic visit,healthcare
ridge hospital,healthcare
monthly netflix,entertainment
airteltigo data,bills
mtn mobile money - 355 GHS,bills
monthly papaye,food
game stores - 245 GHS,shopping
monthly rent payment,bills
paid for accra mall,shopping
knust tuition,education
monthly cape coast trip,travel
ridge hospital payment,healthcare
paid for stationery,education
paid for legon fees,education
spotify premium - 47 GHS,entertainment
silverbird cinema payment,entertainment
stationery - 287 GHS,education
monthly game stores,shopping
clothing,shopping
monthly insurance premium,bills
paid for flight to kumasi,travel
monthly game stores,shopping
nhis payment payment,healthcare
stationery payment,education
paid for school fees,education
medical checkup payment,healthcare
monthly goil fuel,transport
mtn mobile money payment,bills
accra mall,shopping
shell petrol payment,transport
kotoka airport,travel
bolt ride,transport
game stores,shopping
paid for accra mall,shopping
ridge hospital payment,healthcare
paid for shoprite food,food
paid for spotify premium,entertainment
insurance premium - 385 GHS,bills
kfc accra,food
melcom snacks,food
paid for west hills mall,shopping
total fuel - 343 GHS,transport
shoprite food,food
medical checkup,healthcare
monthly goil fuel,transport
school fees - 389 GHS,education
monthly transport fare,travel
movie night - 426 GHS,entertainment
local restaurant payment,food
paid for kenkey,food
paid for transport fare,travel
vip transport,transport
tamale travel,travel
monthly airteltigo data,bills
monthly dstv subscription,entertainment
doctor consultation,healthcare
paid for shell petrol,transport
trotro fare,transport
waakye - 473 GHS,food
vodafone airtime payment,bills
monthly ucc payment,education
vacation expenses - 16 GHS,travel
dstv subscription,entertainment
cape coast trip payment,travel
stationery,education
paid for concert ticket,entertainment
monthly stationery,education
vacation expenses - 22 GHS,travel
metro mass,transport
game stores payment,shopping
monthly trotro fare,transport
paid for medical checkup,healthcare
gotv payment payment,entertainment
paid for vacation expenses,travel
paid for pharmacy,healthcare
monthly gotv payment,entertainment
paid for korle bu hospital,healthcare
vodafone airtime payment,bills
paid for fufu,food
stationery payment,education
textbook purchase,education
west hills mall payment,shopping
clinic visit - 195 GHS,healthcare
bolt ride,transport
waakye payment,food
concert ticket payment,entertainment
library fine,education
legon fees payment,education
monthly kaneshie market,shopping
shoprite payment,shopping
monthly ridge hospital,healthcare
legon fees - 34 GHS,education
vacation expenses payment,travel
melcom payment,shopping
paid for shoprite food,food
paid for melcom,shopping
clinic visit,healthcare
monthly hotel booking,travel
paid for cape coast trip,travel
shoprite,shopping
paid for chop bar,food
monthly kfc accra,food
mtn mobile money,bills
paid for dstv subscription,entertainment
ridge hospital,healthcare
uber accra,transport
monthly melcom snacks,food
silverbird cinema payment,entertainment
vip transport - 25 GHS,transport
movie night - 207 GHS,entertainment
kotoka airport payment,travel
rent payment payment,bills
game stores,shopping
tamale travel - 210 GHS,travel
monthly game stores,shopping
nhis payment - 268 GHS,healthcare
paid for ridge hospital,healthcare
paid for shs bus,transport
monthly banku,food
spotify premium - 260 GHS,entertainment
monthly vodafone airtime,bills
movie night - 411 GHS,entertainment
chop bar payment,food
insurance premium payment,bills
paid for airteltigo data,bills
total fuel payment,transport
transport fare payment,travel
paid for banku,food
paid for west hills mall,shopping
doctor consultation - 33 GHS,healthcare
shoprite food,food
transport fare payment,travel
paid for doctor consultation,healthcare
total fuel - 324 GHS,transport
monthly school fees,education
paid for kenkey,food
paid for korle bu hospital,healthcare
pharmacy,healthcare
monthly cape coast trip,travel
paid for local restaurant,food
monthly gwcl water,bills
paid for clothing,shopping
gwcl water payment,bills
paid for kotoka airport,travel
monthly goil fuel,transport
shoprite food,food
movie night,entertainment
monthly netflix,entertainment
kfc accra payment,food
paid for local restaurant,food
taxi fare payment,transport
legon fees,education
legon fees payment,education
netflix payment,entertainment
banku,food
monthly transport fare,travel
movie night,entertainment
monthly movie night,entertainment
vip transport - 352 GHS,transport
ecg bill - 65 GHS,bills
paid for school fees,education
library fine,education
paid for pharmacy,healthcare
kotoka airport payment,travel
kotoka airport,travel
monthly movie night,entertainment
bolt ride,transport
paid for tamale travel,travel
tamale travel,travel
tamale travel payment,travel
korle bu hospital - 77 GHS,healthcare
shoprite food payment,food
paid for flight to kumasi,travel
monthly hotel booking,travel
mtn mobile money - 104 GHS,bills
ridge hospital,healthcare
medical checkup,healthcare
kotoka airport payment,travel
trotro fare,transport
monthly kaneshie market,shopping
monthly ecg bill,bills
makola market payment,shopping
paid for hotel booking,travel
paid for spotify premium,entertainment
melcom - 99 GHS,shopping
paid for nhis payment,healthcare
monthly kenkey,food
netflix,entertainment
stationery - 95 GHS,education
monthly vacation expenses,travel
paid for vodafone airtime,bills
monthly clinic visit,healthcare
tamale travel - 82 GHS,travel
shell petrol payment,transport
monthly netflix,entertainment
knust tuition payment,education
local restaurant payment,food
rent payment,bills
paid for dstv subscription,entertainment
paid for ecg bill,bills
pharmacy,healthcare
monthly ridge hospital,healthcare
medical checkup payment,healthcare
tamale travel payment,travel
gotv payment,entertainment
gwcl water - 414 GHS,bills
monthly flight to kumasi,travel
concert ticket payment,entertainment
makola market - 44 GHS,shopping
doctor consultation - 153 GHS,healthcare
school fees - 88 GHS,education
paid for legon fees,education
monthly netflix,entertainment
ucc payment payment,education
shs bus,transport
gwcl water - 193 GHS,bills
clinic visit - 387 GHS,healthcare
mtn mobile money - 494 GHS,bills
medical checkup,healthcare
shell petrol - 395 GHS,transport
transport fare payment,travel
kotoka airport - 78 GHS,travel
paid for uber accra,transport
paid for kaneshie market,shopping
monthly ucc payment,education
monthly hotel booking,travel
paid for kaneshie market,shopping
insurance premium,bills
