description,category
tamale travel,travel
monthly goil fuel,transport
shs bus - 299 GHS,transport
metro mass - 313 GHS,transport
dstv subscription,entertainment
paid for game stores,shopping
rent payment payment,bills
kaneshie market - 454 GHS,shopping
textbook purchase - 393 GHS,education
monthly netflix,entertainment
doctor consultation payment,healthcare
monthly korle bu hospital,healthcare
paid for ecg bill,bills
chop bar,food
paid for dstv subscription,entertainment
monthly melcom,shopping
paid for game stores,shopping
monthly waakye,food
monthly shoprite food,food
paid for west hills mall,shopping
jollof,food
netflix,entertainment
paid for silverbird cinema,entertainment
mtn mobile money payment,bills
kenkey - 59 GHS,food
shoprite food,food
monthly library fine,education
paid for spotify premium,entertainment
shoprite,shopping
paid for stationery,education
goil fuel - 426 GHS,transport
vodafone airtime payment,bills
paid for game stores,shopping
airteltigo data,bills
monthly jollof,food
cape coast trip payment,travel
paid for chop bar,food
paid for gwcl water,bills
paid for doctor consultation,healthcare
melcom snacks payment,food
kotoka airport - 422 GHS,travel
hotel booking,travel
transport fare payment,travel
paid for flight to kumasi,travel
paid for nhis payment,healthcare
monthly accra mall,shopping
monthly melcom snacks,food
goil fuel,transport
makola market - 138 GHS,shopping
doctor consultation payment,healthcare
melcom snacks,food
vacation expenses payment,travel
monthly shoprite food,food
melcom snacks,food
ecg bill,bills
transport fare,travel
makola market,shopping
airteltigo data payment,bills
local restaurant payment,food
paid for concert ticket,entertainment
monthly stationery,education
spotify premium - 49 GHS,entertainment
dstv subscription,entertainment
shoprite food - 399 GHS,food
local restaurant - 182 GHS,food
uber accra payment,transport
paid for palace shopping,shopping
clothing payment,shopping
paid for shoprite,shopping
monthly insurance premium,bills
vacation expenses - 237 GHS,travel
vip transport payment,transport
game stores,shopping
melcom,shopping
ucc payment payment,education
monthly airteltigo data,bills
banku - 287 GHS,food
gotv payment payment,entertainment
monthly uber accra,transport
textbook purchase payment,education
makola market,shopping
west hills mall,shopping
spotify premium,entertainment
kaneshie market payment,shopping
gwcl water - 24 GHS,bills
school fees payment,education
monthly spotify premium,entertainment
paid for gotv payment,entertainment
paid for transport fare,travel
shoprite - 354 GHS,shopping
uber accra payment,transport
mtn mobile money - 487 GHS,bills
monthly knust tuition,education
medical checkup,healthcare
netflix - 415 GHS,entertainment
movie night payment,entertainment
ridge hospital,healthcare
monthly clinic visit,healthcare
monthly ucc payment,education
library fine - 369 GHS,education
chop bar,food
ucc payment,education
monthly mtn mobile money,bills
ucc payment,education
insurance premium,bills
kfc accra - 491 GHS,food
shell petrol,transport
monthly medical checkup,healthcare
monthly ucc payment,education
insurance premium,bills
monthly goil fuel,transport
monthly makola market,shopping
ridge hospital - 163 GHS,healthcare
clothing - 466 GHS,shopping
monthly knust tuition,education
melcom - 200 GHS,shopping
paid for transport fare,travel
gwcl water - 466 GHS,bills
makola market - 142 GHS,shopping
knust tuition payment,education
mtn mobile money,bills
monthly ecg bill,bills
mtn mobile money,bills
paid for stationery,education
flight to kumasi - 325 GHS,travel
stationery payment,education
paid for west hills mall,shopping
palace shopping - 435 GHS,shopping
school fees - 144 GHS,education
concert ticket payment,entertainment
vacation expenses payment,travel
legon fees - 165 GHS,education
paid for melcom,shopping
paid for gotv payment,entertainment
kaneshie market,shopping
korle bu hospital payment,healthcare
clothing,shopping
taxi fare,transport
mtn mobile money payment,bills
ucc payment payment,education
monthly insurance premium,bills
vodafone airtime,bills
kotoka airport payment,travel
paid for ridge hospital,healthcare
gotv payment payment,entertainment
monthly total fuel,transport
paid for banku,food
monthly local restaurant,food
monthly fufu,food
insurance premium payment,bills
monthly kotoka airport,travel
monthly ucc payment,education
textbook purchase payment,education
bolt ride payment,transport
vodafone airtime - 70 GHS,bills
local restaurant - 484 GHS,food
paid for banku,food
kfc accra - 397 GHS,food
monthly trotro fare,transport
total fuel,transport
monthly shell petrol,transport
dstv subscription - 152 GHS,entertainment
taxi fare payment,transport
paid for shoprite,shopping
dstv subscription payment,entertainment
monthly netflix,entertainment
transport fare,travel
hotel booking payment,travel
monthly textbook purchase,education
paid for uber accra,transport
paid for textbook purchase,education
shell petrol payment,transport
monthly gotv payment,entertainment
monthly palace shopping,shopping
papaye payment,food
monthly hotel booking,travel
monthly flight to kumasi,travel
paid for kaneshie market,shopping
paid for library fine,education
concert ticket payment,entertainment
concert ticket - 329 GHS,entertainment
papaye payment,food
chop bar,food
paid for vip transport,transport
melcom snacks,food
monthly ecg bill,bills
paid for uber accra,transport
clinic visit - 72 GHS,healthcare
school fees,education
pharmacy - 413 GHS,healthcare
total fuel,transport
ridge hospital,healthcare
paid for local restaurant,food
paid for airteltigo data,bills
hotel booking payment,travel
legon fees,education
paid for library fine,education
clinic visit,healthcare
fufu - 489 GHS,food
paid for goil fuel,transport
gwcl water,bills
tamale travel,travel
hotel booking - 435 GHS,travel
monthly silverbird cinema,entertainment
kaneshie market - 483 GHS,shopping
paid for school fees,education
school fees payment,education
monthly vodafone airtime,bills
monthly chop bar,food
silverbird cinema payment,entertainment
paid for melcom snacks,food
paid for waakye,food
concert ticket payment,entertainment
clinic visit,healthcare
monthly textbook purchase,education
paid for local restaurant,food
paid for shs bus,transport
monthly korle bu hospital,healthcare
stationery payment,education
fufu,food
knust tuition payment,education
flight to kumasi payment,travel
local restaurant payment,food
korle bu hospital - 300 GHS,healthcare
paid for game stores,shopping
monthly stationery,education
paid for gotv payment,entertainment
paid for makola market,shopping
monthly tamale travel,travel
mtn mobile money payment,bills
monthly cape coast trip,travel
monthly waakye,food
dstv subscription - 351 GHS,entertainment
gotv payment,entertainment
gotv payment - 358 GHS,entertainment
monthly kaneshie market,shopping
shs bus payment,transport
melcom,shopping
west hills mall,shopping
concert ticket - 435 GHS,entertainment
melcom snacks,food
west hills mall - 231 GHS,shopping
airteltigo data - 365 GHS,bills
vacation expenses,travel
cape coast trip - 163 GHS,travel
cape coast trip,travel
shell petrol payment,transport
paid for netflix,entertainment
uber accra,transport
monthly tamale travel,travel
paid for gwcl water,bills
mtn mobile money - 264 GHS,bills
goil fuel - 313 GHS,transport
paid for nhis payment,healthcare
stationery payment,education
knust tuition payment,education
tamale travel payment,travel
kaneshie market,shopping
mtn mobile money,bills
hotel booking payment,travel
spotify premium,entertainment
gotv payment,entertainment
paid for shoprite,shopping
monthly school fees,education
metro mass payment,transport
textbook purchase,education
paid for vodafone airtime,bills
gwcl water,bills
monthly movie night,entertainment
tamale travel,travel
monthly uber accra,transport
legon fees,education
paid for vacation expenses,travel
clinic visit,healthcare
paid for ridge hospital,healthcare
silverbird cinema payment,entertainment
goil fuel payment,transport
gwcl water,bills
shell petrol payment,transport
cape coast trip - 332 GHS,travel
pharmacy payment,healthcare
paid for vodafone airtime,bills
goil fuel,transport
monthly clinic visit,healthcare
monthly metro mass,transport
monthly nhis payment,healthcare
paid for cape coast trip,travel
monthly shs bus,transport
concert ticket payment,entertainment
game stores - 469 GHS,shopping
goil fuel payment,transport
netflix,entertainment
kaneshie market payment,shopping
fufu,food
melcom - 56 GHS,shopping
paid for stationery,education
monthly melcom snacks,food
palace shopping - 193 GHS,shopping
shell petrol,transport
west hills mall payment,shopping
monthly ucc payment,education
total fuel - 263 GHS,transport
mtn mobile money payment,bills
legon fees - 267 GHS,education
jollof - 336 GHS,food
ridge hospital,healthcare
paid for dstv subscription,entertainment
monthly rent payment,bills
vacation expenses,travel
vodafone airtime - 250 GHS,bills
vacation expenses payment,travel
korle bu hospital - 192 GHS,healthcare
monthly ridge hospital,healthcare
monthly uber accra,transport
tamale travel - 353 GHS,travel
monthly uber accra,transport
pharmacy - 333 GHS,healthcare
legon fees payment,education
paid for makola market,shopping
textbook purchase,education
paid for insurance premium,bills
paid for shs bus,transport
kotoka airport - 180 GHS,travel
ridge hospital payment,healthcare
jollof payment,food
shoprite food payment,food
shoprite food - 180 GHS,food
paid for spotify premium,entertainment
west hills mall,shopping
tamale travel,travel
ridge hospital - 470 GHS,healthcare
kotoka airport,travel
monthly game stores,shopping
movie night - 407 GHS,entertainment
flight to kumasi,travel
shoprite food payment,food
waakye payment,food
monthly vip transport,transport
medical checkup payment,healthcare
airteltigo data - 403 GHS,bills
gotv payment - 430 GHS,entertainment
vodafone airtime payment,bills
monthly rent payment,bills
cape coast trip payment,travel
paid for gwcl water,bills
kfc accra - 336 GHS,food
taxi fare,transport
kotoka airport payment,travel
korle bu hospital payment,healthcare
palace shopping - 126 GHS,shopping
shoprite food,food
goil fuel - 244 GHS,transport
bolt ride payment,transport
insurance premium payment,bills
waakye,food
paid for shoprite,shopping
vacation expenses payment,travel
makola market,shopping
west hills mall - 24 GHS,shopping
monthly ucc payment,education
monthly goil fuel,transport
monthly rent payment,bills
monthly uber accra,transport
gwcl water,bills
accra mall - 19 GHS,shopping
ecg bill - 366 GHS,bills
paid for ucc payment,education
vodafone airtime - 156 GHS,bills
monthly gwcl water,bills
monthly korle bu hospital,healthcare
game stores,shopping
papaye,food
spotify premium payment,entertainment
vodafone airtime - 455 GHS,bills
korle bu hospital - 54 GHS,healthcare
total fuel,transport
movie night - 111 GHS,entertainment
paid for legon fees,education
dstv subscription payment,entertainment
local restaurant - 425 GHS,food
clothing payment,shopping
transport fare payment,travel
knust tuition payment,education
paid for kaneshie market,shopping
textbook purchase - 422 GHS,education
medical checkup - 289 GHS,healthcare
paid for nhis payment,healthcare
kotoka airport payment,travel
library fine payment,education
textbook purchase,education
monthly kotoka airport,travel
paid for knust tuition,education
ridge hospital - 291 GHS,healthcare
shoprite payment,shopping
rent payment,bills
monthly legon fees,education
ecg bill payment,bills
metro mass,transport
paid for total fuel,transport
stationery payment,education
monthly shell petrol,transport
library fine - 32 GHS,education
papaye payment,food
legon fees,education
monthly clinic visit,healthcare
local restaurant payment,food
ridge hospital,healthcare
paid for flight to kumasi,travel
paid for shoprite food,food
pharmacy - 489 GHS,healthcare
spotify premium,entertainment
monthly pharmacy,healthcare
shoprite food payment,food
monthly netflix,entertainment
gotv payment payment,entertainment
school fees payment,education
monthly kotoka airport,travel
ecg bill,bills
paid for taxi fare,transport
korle bu hospital,healthcare
paid for clinic visit,healthcare
nhis payment,healthcare
hotel booking,travel
paid for kotoka airport,travel
kenkey - 275 GHS,food
gotv payment payment,entertainment
monthly kotoka airport,travel
melcom,shopping
monthly doctor consultation,healthcare
paid for concert ticket,entertainment
monthly vip transport,transport
netflix - 12 GHS,entertainment
nhis payment - 34 GHS,healthcare
makola market,shopping
paid for ecg bill,bills
textbook purchase,education
shell petrol payment,transport
paid for spotify premium,entertainment
monthly tamale travel,travel
vacation expenses payment,travel
concert ticket,entertainment
paid for taxi fare,transport
paid for trotro fare,transport
paid for airteltigo data,bills
textbook purchase payment,education
bolt ride - 211 GHS,transport
ucc payment,education
monthly hotel booking,travel
jollof,food
paid for ecg bill,bills
gwcl water,bills
clinic visit,healthcare
paid for game stores,shopping
monthly flight to kumasi,travel
knust tuition - 328 GHS,education
uber accra - 440 GHS,transport
cape coast trip,travel
monthly concert ticket,entertainment
kaneshie market,shopping
paid for medical checkup,healthcare
ecg bill,bills
paid for vodafone airtime,bills
paid for shell petrol,transport
tamale travel payment,travel
vacation expenses payment,travel
paid for knust tuition,education
local restaurant payment,food
paid for gwcl water,bills
melcom,shopping
west hills mall - 306 GHS,shopping
monthly metro mass,transport
paid for pharmacy,healthcare
paid for clinic visit,healthcare
stationery payment,education
monthly mtn mobile money,bills
paid for mtn mobile money,bills
knust tuition payment,education
paid for airteltigo data,bills
monthly palace shopping,shopping
monthly concert ticket,entertainment
paid for waakye,food
knust tuition - 144 GHS,education
monthly stationery,education
monthly trotro fare,transport
paid for flight to kumasi,travel
paid for medical checkup,healthcare
paid for textbook purchase,education
airteltigo data - 15 GHS,bills
flight to kumasi payment,travel
paid for metro mass,transport
monthly ridge hospital,healthcare
mtn mobile money - 361 GHS,bills
accra mall - 293 GHS,shopping
paid for silverbird cinema,entertainment
monthly melcom snacks,food
spotify premium,entertainment
movie night - 453 GHS,entertainment
palace shopping payment,shopping
monthly insurance premium,bills
monthly kotoka airport,travel
monthly medical checkup,healthcare
monthly palace shopping,shopping
clinic visit payment,healthcare
vodafone airtime - 59 GHS,bills
nhis payment - 23 GHS,healthcare
vip transport,transport
paid for school fees,education
goil fuel,transport
knust tuition - 137 GHS,education
paid for dstv subscription,entertainment
monthly stationery,education
textbook purchase payment,education
school fees,education
chop bar,food
flight to kumasi,travel
game stores - 346 GHS,shopping
bolt ride payment,transport
melcom - 497 GHS,shopping
monthly flight to kumasi,travel
monthly cape coast trip,travel
korle bu hospital - 282 GHS,healthcare
paid for kfc accra,food
silverbird cinema payment,entertainment
monthly ecg bill,bills
gwcl water,bills
banku payment,food
paid for gotv payment,entertainment
kotoka airport payment,travel
monthly local restaurant,food
monthly gotv payment,entertainment
stationery - 269 GHS,education
paid for accra mall,shopping
paid for ecg bill,bills
textbook purchase,education
gwcl water,bills
monthly palace shopping,shopping
local restaurant - 403 GHS,food
flight to kumasi payment,travel
insurance premium payment,bills
paid for vip transport,transport
doctor consultation - 191 GHS,healthcare
melcom - 386 GHS,shopping
shoprite - 263 GHS,shopping
paid for hotel booking,travel
paid for clinic visit,healthcare
shoprite payment,shopping
shoprite,shopping
silverbird cinema payment,entertainment
taxi fare - 94 GHS,transport
library fine - 168 GHS,education
monthly vodafone airtime,bills
monthly kenkey,food
paid for korle bu hospital,healthcare
textbook purchase,education
melcom snacks payment,food
netflix - 278 GHS,entertainment
paid for kotoka airport,travel
school fees - 240 GHS,education
monthly netflix,entertainment
melcom,shopping
taxi fare payment,transport
paid for shoprite,shopping
monthly ucc payment,education
monthly fufu,food
paid for rent payment,bills
paid for gotv payment,entertainment
legon fees payment,education
papaye payment,food
makola market - 326 GHS,shopping
kotoka airport payment,travel
vodafone airtime payment,bills
monthly flight to kumasi,travel
monthly west hills mall,shopping
monthly movie night,entertainment
monthly ucc payment,education
ucc payment payment,education
legon fees payment,education
paid for medical checkup,healthcare
gotv payment - 210 GHS,entertainment
paid for concert ticket,entertainment
legon fees - 379 GHS,education
bolt ride - 185 GHS,transport
paid for knust tuition,education
concert ticket - 401 GHS,entertainment
ecg bill,bills
monthly korle bu hospital,healthcare
waakye - 56 GHS,food
ridge hospital payment,healthcare
legon fees,education
paid for ecg bill,bills
taxi fare,transport
paid for mtn mobile money,bills
medical checkup - 449 GHS,healthcare
clinic visit - 159 GHS,healthcare
monthly accra mall,shopping
monthly library fine,education
monthly clinic visit,healthcare
paid for legon fees,education
movie night,entertainment
legon fees,education
silverbird cinema - 210 GHS,entertainment
clothing - 437 GHS,shopping
movie night,entertainment
monthly vacation expenses,travel
paid for kotoka airport,travel
melcom snacks,food
total fuel,transport
melcom snacks payment,food
paid for netflix,entertainment
monthly vacation expenses,travel
monthly knust tuition,education
paid for makola market,shopping
pharmacy,healthcare
pharmacy - 252 GHS,healthcare
monthly vip transport,transport
korle bu hospital payment,healthcare
nhis payment - 32 GHS,healthcare
game stores,shopping
monthly ucc payment,education
netflix - 187 GHS,entertainment
bolt ride payment,transport
monthly melcom snacks,food
korle bu hospital,healthcare
clothing - 44 GHS,shopping
ridge hospital - 455 GHS,healthcare
trotro fare payment,transport
kfc accra,food
paid for shoprite food,food
monthly library fine,education
gotv payment,entertainment
goil fuel - 377 GHS,transport
nhis payment - 429 GHS,healthcare
paid for silverbird cinema,entertainment
flight to kumasi - 85 GHS,travel
paid for tamale travel,travel
spotify premium payment,entertainment
dstv subscription payment,entertainment
monthly shoprite food,food
paid for trotro fare,transport
west hills mall payment,shopping
uber accra,transport
chop bar,food
fufu payment,food
flight to kumasi payment,travel
pharmacy payment,healthcare
monthly shell petrol,transport
kotoka airport - 374 GHS,travel
trotro fare - 236 GHS,transport
taxi fare,transport
metro mass,transport
paid for transport fare,travel
doctor consultation,healthcare
melcom snacks payment,food
paid for insurance premium,bills
kenkey - 217 GHS,food
metro mass - 217 GHS,transport
ecg bill payment,bills
monthly airteltigo data,bills
west hills mall - 47 GHS,shopping
banku payment,food
monthly local restaurant,food
textbook purchase - 41 GHS,education
jollof - 372 GHS,food
monthly shoprite,shopping
paid for shoprite food,food
ridge hospital payment,healthcare
spotify premium,entertainment
paid for nhis payment,healthcare
vacation expenses - 293 GHS,travel
paid for clinic visit,healthcare
medical checkup payment,healthcare
monthly kotoka airport,travel
shoprite - 205 GHS,shopping
transport fare,travel
gwcl water payment,bills
melcom snacks payment,food
monthly gotv payment,entertainment
paid for movie night,entertainment
ridge hospital,healthcare
chop bar - 348 GHS,food
spotify premium - 204 GHS,entertainment
concert ticket,entertainment
gotv payment - 33 GHS,entertainment
chop bar - 324 GHS,food
monthly mtn mobile money,bills
melcom,shopping
monthly stationery,education
paid for tamale travel,travel
ucc payment - 206 GHS,education
paid for tamale travel,travel
dstv subscription,entertainment
rent payment payment,bills
monthly legon fees,education
paid for shoprite,shopping
paid for melcom snacks,food
vacation expenses,travel
waakye - 54 GHS,food
monthly pharmacy,healthcare
vodafone airtime payment,bills
monthly legon fees,education
monthly silverbird cinema,entertainment
paid for cape coast trip,travel
monthly rent payment,bills
paid for kfc accra,food
local restaurant,food
paid for ridge hospital,healthcare
clinic visit payment,healthcare
vodafone airtime payment,bills
paid for ridge hospital,healthcare
paid for spotify premium,entertainment
ucc payment payment,education
ecg bill,bills
paid for ecg bill,bills
ucc payment payment,education
monthly banku,food
paid for stationery,education
paid for kaneshie market,shopping
bolt ride,transport
monthly total fuel,transport
school fees payment,education
paid for palace shopping,shopping
monthly doctor consultation,healthcare
monthly clinic visit,healthcare
transport fare payment,travel
paid for transport fare,travel
paid for local restaurant,food
paid for clothing,shopping
paid for netflix,entertainment
paid for shell petrol,transport
monthly cape coast trip,travel
monthly dstv subscription,entertainment
monthly taxi fare,transport
ucc payment payment,education
monthly metro mass,transport
goil fuel payment,transport
local restaurant,food
gwcl water - 148 GHS,bills
paid for kotoka airport,travel
paid for shs bus,transport
monthly melcom,shopping
fufu - 479 GHS,food
school fees - 362 GHS,education
clinic visit - 192 GHS,healthcare
nhis payment,healthcare
korle bu hospital payment,healthcare
monthly kotoka airport,travel
library fine - 339 GHS,education
trotro fare payment,transport
makola market,shopping
monthly metro mass,transport
monthly goil fuel,transport
melcom,shopping
netflix - 469 GHS,entertainment
monthly local restaurant,food
game stores,shopping
goil fuel payment,transport
jollof - 447 GHS,food
ucc payment payment,education
kaneshie market - 154 GHS,shopping
transport fare payment,travel
clinic visit - 106 GHS,healthcare
paid for movie night,entertainment
concert ticket payment,entertainment
paid for rent payment,bills
papaye payment,food
vip transport - 422 GHS,transport
stationery - 278 GHS,education
vodafone airtime - 302 GHS,bills
gwcl water,bills
monthly transport fare,travel
library fine - 239 GHS,education
goil fuel - 356 GHS,transport
kotoka airport,travel
school fees payment,education
doctor consultation,healthcare
paid for local restaurant,food
transport fare payment,travel
monthly accra mall,shopping
paid for uber accra,transport
monthly ecg bill,bills
paid for medical checkup,healthcare
trotro fare - 81 GHS,transport
kenkey - 481 GHS,food
rent payment - 142 GHS,bills
waakye,food
dstv subscription - 100 GHS,entertainment
transport fare payment,travel
makola market,shopping
gwcl water,bills
monthly west hills mall,shopping
monthly game stores,shopping
melcom snacks payment,food
paid for concert ticket,entertainment
dstv subscription - 495 GHS,entertainment
banku payment,food
monthly west hills mall,shopping
bolt ride payment,transport
shs bus payment,transport
monthly pharmacy,healthcare
monthly textbook purchase,education
monthly kaneshie market,shopping
paid for tamale travel,travel
paid for movie night,entertainment
papaye,food
waakye,food
nhis payment,healthcare
paid for transport fare,travel
paid for total fuel,transport
textbook purchase,education
hotel booking,travel
waakye - 117 GHS,food
jollof payment,food
fufu - 391 GHS,food
paid for cape coast trip,travel
ucc payment - 398 GHS,education
paid for ecg bill,bills
jollof,food
ucc payment payment,education
banku,food
paid for ecg bill,bills
palace shopping - 365 GHS,shopping
monthly transport fare,travel
hotel booking,travel
paid for ecg bill,bills
doctor consultation,healthcare
paid for pharmacy,healthcare
monthly bolt ride,transport
airteltigo data payment,bills
vodafone airtime,bills
doctor consultation - 426 GHS,healthcare
rent payment,bills
korle bu hospital - 102 GHS,healthcare
medical checkup,healthcare
game stores - 41 GHS,shopping
vip transport - 192 GHS,transport
paid for jollof,food
paid for fufu,food
paid for silverbird cinema,entertainment
monthly west hills mall,shopping
shoprite food,food
shell petrol,transport
insurance premium,bills
goil fuel,transport
paid for airteltigo data,bills
paid for trotro fare,transport
korle bu hospital payment,healthcare
paid for accra mall,shopping
ridge hospital payment,healthcare
ecg bill payment,bills
paid for textbook purchase,education
paid for netflix,entertainment
monthly netflix,entertainment
paid for pharmacy,healthcare
paid for kotoka airport,travel
paid for ecg bill,bills
nhis payment,healthcare
paid for vip transport,transport
vodafone airtime payment,bills
monthly hotel booking,travel
monthly ecg bill,bills
vacation expenses payment,travel
insurance premium - 115 GHS,bills
monthly shell petrol,transport
monthly insurance premium,bills
melcom payment,shopping
insurance premium,bills
monthly flight to kumasi,travel
monthly school fees,education
shoprite - 317 GHS,shopping
airteltigo data - 492 GHS,bills
west hills mall - 405 GHS,shopping
monthly school fees,education
nhis payment - 403 GHS,healthcare
bolt ride - 156 GHS,transport
monthly gwcl water,bills
monthly pharmacy,healthcare
paid for ridge hospital,healthcare
paid for goil fuel,transport
ucc payment,education
clinic visit,healthcare
netflix - 423 GHS,entertainment
papaye payment,food
kfc accra,food
monthly clothing,shopping
paid for medical checkup,healthcare
banku - 61 GHS,food
monthly vip transport,transport
monthly insurance premium,bills
monthly clinic visit,healthcare
monthly metro mass,transport
jollof payment,food
paid for flight to kumasi,travel
movie night - 486 GHS,entertainment
banku,food
pharmacy payment,healthcare
total fuel payment,transport
paid for gotv payment,entertainment
paid for spotify premium,entertainment
concert ticket - 353 GHS,entertainment
korle bu hospital - 446 GHS,healthcare
kotoka airport - 425 GHS,travel
trotro fare,transport
shoprite food,food
kotoka airport,travel
kotoka airport payment,travel
monthly kotoka airport,travel
rent payment - 36 GHS,bills
shs bus - 289 GHS,transport
doctor consultation payment,healthcare
kaneshie market,shopping
flight to kumasi payment,travel
stationery,education
total fuel payment,transport
netflix payment,entertainment
paid for vodafone airtime,bills
pharmacy payment,healthcare
fufu,food
goil fuel,transport
textbook purchase - 39 GHS,education
silverbird cinema payment,entertainment
fufu payment,food
kenkey,food
medical checkup,healthcare
ecg bill - 265 GHS,bills
paid for dstv subscription,entertainment
ridge hospital,healthcare
monthly legon fees,education
accra mall payment,shopping
monthly goil fuel,transport
monthly game stores,shopping
knust tuition payment,education
ecg bill - 230 GHS,bills
monthly korle bu hospital,healthcare
rent payment,bills
paid for cape coast trip,travel
paid for library fine,education
transport fare - 41 GHS,travel
accra mall,shopping
taxi fare,transport
knust tuition payment,education
monthly clothing,shopping
netflix payment,entertainment
paid for waakye,food
jollof payment,food
kfc accra - 407 GHS,food
shoprite food,food
cape coast trip - 421 GHS,travel
fufu payment,food
insurance premium,bills
jollof,food
monthly kenkey,food
chop bar payment,food
west hills mall,shopping
stationery payment,education
waakye,food
mtn mobile money payment,bills
papaye,food
silverbird cinema - 392 GHS,entertainment
paid for accra mall,shopping
shell petrol - 458 GHS,transport
transport fare - 126 GHS,travel
paid for palace shopping,shopping
library fine - 41 GHS,education
monthly shoprite food,food
monthly kfc accra,food
spotify premium payment,entertainment
spotify premium - 154 GHS,entertainment
paid for kfc accra,food
paid for kaneshie market,shopping
monthly shs bus,transport
concert ticket - 102 GHS,entertainment
vodafone airtime - 69 GHS,bills
west hills mall - 209 GHS,shopping
dstv subscription - 331 GHS,entertainment
pharmacy,healthcare
paid for stationery,education
monthly kenkey,food
monthly trotro fare,transport
kotoka airport,travel
movie night - 39 GHS,entertainment
paid for library fine,education
west hills mall - 277 GHS,shopping
monthly total fuel,transport
game stores,shopping
monthly insurance premium,bills
paid for kfc accra,food
kfc accra payment,food
monthly cape coast trip,travel
kenkey,food
paid for library fine,education
paid for hotel booking,travel
paid for rent payment,bills
paid for cape coast trip,travel
paid for mtn mobile money,bills
monthly korle bu hospital,healthcare
paid for shoprite,shopping
shell petrol payment,transport
monthly kotoka airport,travel
paid for vacation expenses,travel
shell petrol,transport
flight to kumasi - 350 GHS,travel
papaye - 258 GHS,food
ecg bill payment,bills
paid for shell petrol,transport
accra mall payment,shopping
monthly taxi fare,transport
monthly doctor consultation,healthcare
korle bu hospital,healthcare
kfc accra,food
